LOCATION_ID,OPERATOR,LON,LAT
1479476337,,-98.2743008,30.5750669
2393468592,Interfuel LLC,-77.1886159,38.7452365
10675471918,MetaBank,-97.718449,30.3993686
9559328123,La Capitol Federal Credit Union,-91.0745029,30.3692734
10720442559,Hancock Whitney,-91.1345982,30.5052009
935579340,,-98.4849006,29.4240708
6133395088,Hancock Whitney,-89.3776725,31.3211097
939470260,PNC Bank,-76.993335,38.9063406
3630721059,,-105.1140311,39.7410222
3872240069,,-77.3355993,38.6433479
3785782463,Bank of Colorado,-103.622001,40.2564854
9968772452,Ent Credit Union,-105.0517297,40.5241558
7377186593,,-105.0135041,39.7519316
7298137166,,-97.1659036,30.2315023
5405987926,,-89.8270243,30.3023964
6058883163,,-77.1212729,38.8981767
9753351778,VeraBank,-97.8447048,30.5580577
5682893232,,-77.0513378,38.8477719
2792878029,PNC Bank,-77.0342514,38.8989266
993923097,,-104.671271,39.8536401
1985131027,,-104.903457,39.5961537
2293201911,Chase,-104.7704856,39.7833221
6090647901,,-98.4719012,29.5257659
3944903399,,-105.1690115,39.956688
9310894141,Wells Fargo,-105.200966,40.0722723
668901122,,-97.8071916,30.2033005
7881318770,Broadway Bank,-98.1024345,30.0066758
4610985437,,-105.2803235,40.0154873
1195095251,Bank of the West,-105.266878,40.0083511
5922920991,First Bank,-104.782518,39.5599639
5173630538,Randolph Brooks Federal Credit Union,-98.0959993,29.6962739
3782927034,The Farmers State Bank,-103.6255126,40.2554583
6058883147,,-77.1209959,38.8982177
2752943304,,-104.8836497,39.6534423
9417490127,,-97.7653347,31.1367768
9750192541,Wells Fargo,-98.6396088,29.3805259
1334018840,,-104.9987444,39.7479879
3382282084,,-104.9871418,39.7440099
8061248619,Cardtronics,-97.7174807,30.6819981
965153823,,-104.9487786,39.7501682
1227587493,IBC Bank,-97.7224912,30.391613
1751678853,,-76.7718717,38.9088041
4824278332,Wells Fargo Bank,-97.8504092,30.5141273
5670705539,,-104.9971682,39.7510658
8537949078,,-97.805453,30.4788866
9382711625,Capital One,-77.0960242,38.9449848
5284720088,Chase,-104.939804,39.6688053
7604228856,,-104.9395411,40.1594177
1302416783,Whitney Bank,-90.0700333,29.9492157
9582071403,Bank of America,-97.8655362,30.5455084
8229497844,,-97.7222385,30.3922553
564069277,,-77.0922904,38.861572
5562784725,,-77.0794005,38.7807982
10173983408,,-105.2506386,39.9845689
4522485037,,-105.0245781,39.7852772
2933583051,KeyBank,-104.868647,39.6749707
6821757582,,-97.6667717,31.0684128
9443197959,Wells Fargo,-104.6905651,40.424535
6654339388,The First,-89.3306183,31.3036234
8484546583,,-97.6509522,30.5425921
1553237362,Foothills Credit Union,-105.0858311,39.7105559
4678165190,,-105.0350139,39.787623
3855747359,,-97.6856814,30.3823434
6137795215,,-105.1628216,39.9654452
4615096024,M&T Bank,-76.6601805,38.7160028
10039917400,Bank of America,-77.2679539,38.6402912
2627948226,,-104.805336,39.8850425
2189107609,Wells Fargo,-77.1413095,38.8863561
3006564169,,-104.9989034,39.7537821
4752031123,,-90.0652145,29.9418981
955190941,,-105.518248,40.3776009
6770639841,Wells Fargo,-104.7346103,40.403462
9800624380,Bank of the West,-105.267776,40.2244784
